# z-spec OII_3727 err_OII_3727 NeIII_3870_HeI_3889 err_NeIII_3870_HeI_3889 Hdelta err_Hdelta Hgamma err_Hgamma Hbeta err_Hbeta OIII_5008 err_OIII_5008 Halpha err_Halpha SII_6725 err_SII_6725
6.1056 5.0 0.3 1.6 0.4 1.2 0.3 1.3 0.3 3.0 0.3 15.3 0.3 9.5 0.3 0.9 0.2
6.1072 12.1 1.6 10.4 1.8 3.2 1.5 6.3 1.7 15.8 1.4 120.6 1.5 50.3 1.3 5.1 1.2
6.1086 7.8 1.5 8.0 1.7 -0.2 1.5 6.5 1.6 9.3 1.4 64.7 1.5 33.6 1.3 -0.4 1.2
6.134 10.3 1.6 7.8 1.8 4.8 1.5 11.4 1.6 20.9 1.4 122.6 1.4 59.9 1.2 2.3 1.2
6.14 20.4 3.0 16.4 3.3 5.2 2.9 8.399999999999999 3.05 21.6 2.6 168.5 2.8 87.6 2.4 3.2 2.3
6.1894 14.5 1.5 7.0 1.8 3.1 1.4 6.8 1.5 9.7 1.3 72.3 1.4 38.2 1.2 2.9 1.1
6.1906 2.2 1.0 2.3 1.2 1.1 0.9 2.9 1.0 2.9 0.9 16.0 0.9 12.4 0.8 2.7 0.7
6.206 2.9 1.8 8.5 1.9 2.7 1.9 5.699999999999999 1.7 13.0 1.5 59.6 1.6 45.6 1.4 2.7 1.3
6.2283 0.8 0.5 0.9 0.6 -0.1 0.5 1.0 0.5 2.2 0.5 12.3 0.5 6.5 0.4 0.6 0.4
6.2513 0.7 0.5 2.7 0.5 1.2 0.5 2.5999999999999996 0.5 4.1 0.4 13.3 0.4 12.7 0.4 0.2 0.4
6.2651 5.8 1.1 5.9 1.3 2.2 1.0 5.2 1.1 7.0 1.0 51.0 1.0 25.5 0.9 0.8 0.8
6.268 6.2 2.4 13.6 3.0 3.3 2.4 12.5 2.4 18.1 2.1 157.1 2.4 54.3 1.9 1.6 1.8
6.3139 2.4 0.7 3.7 0.8 0.7 0.7 3.2 0.7 7.5 0.6 33.4 0.7 18.4 0.6 0.6 0.6
6.3271 9.9 1.8 17.0 2.1 3.5 1.7 12.2 1.9 16.8 1.6 102.4 1.7 59.4 1.5 1.0 1.4
