# z_spec;M_UV;O3Hb_EW;Beta_UV;err_Beta_UV;DLya;err_DLya;SFR;err_SFR;Xi_ion;err_Xi_ion;O_32;err_O_32
5.505042;-18.827840421360715;1612.3162002643487;-2.161669169592877;0.06183167936319566;52.28722251765765;2.285246460077566;4.120315984773342;0.1896038907980928;3.651890335734252e+25;1.6804842613575842e+24;8.552138157984974;0.9684938824720122
5.505042;-18.85374404766375;2850.258814624102;-1.6897703595287437;0.2621790668723582;64.36006505892536;12.491909340823321;9.40573208306096;1.058620482474588;8.139886659001883e+25;9.161488617945773e+24;51.886643317091675;87.05969855344622
5.51611;-19.040675158751277;1383.2389109453338;-3.2321644919350354;0.14509213001044285;170.02691126721237;11.327741048723073;4.57214183014834;1.3814030395495176;3.330987502944572e+25;1.0064071571287628e+25;4.168557533047868;2.304989227602077
5.51937;-16.826900600376213;20235.62598840072;-2.2954589306638207;0.3224299516418422;-67.71911792433232;13.091226204518717;1.4591661402447031;0.13320800598150637;8.16710005333091e+25;7.455786443709689e+24;21.90120698011723;28.776570074214415
5.52067;-20.030935622285163;671.7204612409462;-1.8525145291149347;0.015475715824938653;55.751349493168576;7.2793615953737865;11.05992407073371;1.7903588980693304;3.2366912173902054e+25;5.239492499493245e+24;5.352470750065616;1.2369566073520752
5.52589;-20.138946604739402;451.4627951130037;-2.131494313833874;0.05039829814878156;47.351254013131395;1.9777568758231685;4.545828019967035;0.4988257021863747;1.2043639079577325e+25;1.321580291722736e+24;4.968266134649949;0.7739023658271524
5.531768;-17.313241220682546;19.226704010307778;-2.7270277655956554;0.4882731400291101;91.32997514225742;19.819268587913182;0.34973938616305367;0.4478004722766238;1.2507526394687835e+25;1.6014428023106148e+25;-0.6483266489245795;-1.9440771236534313
5.540919;-19.85553611804807;197.15402071176848;-1.906357652201777;0.15369297801807857;130.89010160117923;6.565337939810305;1.5358530795266914;1.3722473818687424;5.282732238246662e+24;4.7199928037918824e+24;8.54895328822732;12.771751758701885
5.544844;-19.633969492926557;98.48205136745811;-1.3144588380616125;0.0804172487533394;56.628383768929694;4.3376612150093194;0.7913718535719692;0.8067756415267338;3.3382293832893795e+24;3.4032068996522077e+24;2.937871858042005;1.3354641534600475
5.546153;-18.916092402897704;5003.306827689484;-2.333894965595836;0.16273145689810076;69.92333401050118;5.792956673759981;7.487122276819567;0.5949057798915615;6.117885401163005e+25;4.861100502037101e+24;-13.589304220760903;-4.875711816378319
5.55139;-19.064902937867622;4629.2498385838735;-2.022338568104851;0.1319462840368852;48.52467458175887;5.265219455341256;9.137930327133624;0.5484176344008014;6.510435492568139e+25;3.9072716730520383e+24;10.580447591348719;2.2849082713299693
5.55336;-19.29995635884388;1059.2633168328919;-2.1719181170443744;0.1267962319113379;80.21161273791625;5.0944207344254435;5.894972305995181;0.5811002270209371;3.3823815641315513e+25;3.3342017447467267e+24;4.789553390414261;0.7281463547884404
5.55336;-19.29995635884388;1059.2633168328919;-2.1719181170443744;0.1267962319113379;80.21161273791625;5.0944207344254435;5.894972305995181;0.5811002270209371;3.3823815641315513e+25;3.3342017447467267e+24;4.789553390414261;0.7281463547884404
5.55336;-19.29995635884388;1059.2633168328919;-2.1719181170443744;0.1267962319113379;80.21161273791625;5.0944207344254435;5.894972305995181;0.5811002270209371;3.3823815641315513e+25;3.3342017447467267e+24;4.789553390414261;0.7281463547884404
5.55729;-19.665523155642028;4057.6732613625445;-2.1368287354688453;0.19483695987379127;63.4747688501257;7.434127731973425;21.21795915549602;1.4391865673092212;8.693961640481803e+25;5.897001081954694e+24;18.95456204874717;7.743370117087517
5.560571;-19.77576712514263;1203.5969734951425;-2.272274965750927;0.17166787046725124;67.4945003564629;6.361351842548603;9.081628795569175;1.412657393163456;3.361864996011587e+25;5.229418145509609e+24;5.998839529755732;1.7050921059701827
5.56582;-18.82720295232071;4263.72229211279;-2.201599315637194;0.07450545902260292;53.0047387117467;2.854085459087212;4.800306258908866;0.20207546309240684;4.257073398264445e+25;1.7920733219388236e+24;5.242958105796957;0.30845172177037455
5.57108;-17.51077969984552;367.8669594648064;-2.6560312821595495;0.005717474470861683;26.78755067168198;5.014537334872271;0.09302264347306033;0.11268582868113541;2.773321189261488e+24;3.3595475761918965e+24;3.5755858708258956;1.8024040738832106
5.571733;-20.025487809481838;627.3339330736657;-2.2344595983413362;0.027074473841767432;54.90918999087071;0.9846381238215998;3.955889953449571;0.22112939654800345;1.1635162436660438e+25;6.503913098272993e+23;3.45832435125401;0.19593653206683748
5.59148;-19.01614722729198;550.730966338364;-2.5713236062393143;0.047295022826606095;121.57609440173495;13.978590500145097;0.7430645097174416;1.5069002941578946;5.537210081676724e+24;1.1229204721492648e+25;3.5676340076160824;3.080102340273636
5.60137;-20.46753147578396;730.0534586002602;-1.8380385220343352;0.052091374278400146;48.78574455929347;2.272344541850728;12.161640367654604;0.8867421200954593;2.380690501918574e+25;1.7358337190902487e+24;2.948474898148993;0.19987321248182036
5.60137;-20.46753147578396;730.0534586002602;-1.8380385220343352;0.052091374278400146;48.78574455929347;2.272344541850728;12.161640367654604;0.8867421200954593;2.380690501918574e+25;1.7358337190902487e+24;2.948474898148993;0.19987321248182036
5.60137;-20.46753147578396;730.0534586002602;-1.8380385220343352;0.052091374278400146;48.78574455929347;2.272344541850728;12.161640367654604;0.8867421200954593;2.380690501918574e+25;1.7358337190902487e+24;2.948474898148993;0.19987321248182036
