# File;RA;Decl;z_spec;SN_UV;M_UV;O3Hb_EW;Beta_UV;err_Beta_UV;DLya;err_DLya;SFR;err_SFR;Xi_ion;err_Xi_ion;O_32;err_O_32;OII_3727;err_OII_3727;NeIII_3870;err_NeIII_3870;HeI_3889;err_HeI_3889;Hdelta;err_Hdelta;Hgamma;err_Hgamma;Hbeta;err_Hbeta;OIII_4960;err_OIII_4960;OIII_5008;err_OIII_5008;Halpha;err_Halpha;SII_6725;err_SII_6725
ceers-v2_prism-clear_1345_1163.spec.fits;214.9904678;52.9719902;7.455166;47.898030830456186;-20.53073101919251;451.11424660379225;-2.4655361725303173;0.08407008593644566;48.770369384085704;3.025130278988251;5.718947168785401;1.6257797599493047;1.0562021562443292e+25;3.002566796576187e+24;6.461122967131911;1.8588844906855073;49.503212;13.981191;35.96502;14.229758;-9.860272;14.152737;0.7958648;14.879039;20.864231;12.655613;52.89208;15.036137;105.32083;14.804657;319.84634;17.53717;nan;nan;nan;nan
macsj0647-v2_prism-clear_1433_3754.spec.fits;101.920529;70.244899;7.472093;39.8331319124861;-19.951345302280963;2358.9363336781116;-2.5039434489273003;0.09885791509830238;69.49207016306259;3.7584909910326254;16.035026172900352;1.2418876547286117;5.049576139901979e+25;3.9108176077408613e+24;18.56667821054389;6.374019184829356;35.066208;12.003236;52.0291;12.286303;33.950428;12.706547;42.470436;11.137298;40.452805;9.897364;147.52975;11.425948;213.50053;12.165374;651.063;17.065798;nan;nan;nan;nan
ceers-v2_prism-clear_1345_80432.spec.fits;214.812056;52.746747;7.47633;30.653348958655794;-20.09866022794644;4346.380332054085;-2.337062543295389;0.12345060929182593;43.57613794870667;4.84602443566963;12.65820091352037;1.401437115448236;3.480416879767199e+25;3.853300659281279e+24;10.266433303140534;2.5039277774078417;61.230934;14.790985;38.091366;12.914075;-2.2532537;12.021331;64.26645;13.244682;12.753283;11.458168;116.30969;12.877084;258.26147;14.936361;628.6233;21.159767;nan;nan;nan;nan
jades-gdn2-v2_prism-clear_1181_38684.spec.fits;189.1210865;62.2778077;7.48142;26.36340243393428;-19.15705045349277;58.77832603502715;-1.7420387992197175;0.1284357243198069;50.351857085118866;6.2135684034820144;1.1339746752464301;0.6507003864164654;7.421753862170897e+24;4.2587706863497707e+24;0.7339458943616588;0.46582948008735076;17.407354;6.508027;5.98944;6.4339833;2.5025156;6.660737;1.8973422;5.708593;6.7212067;5.560827;10.403219;5.969603;11.078659;6.1773863;12.776056;6.552729;nan;nan;nan;nan
jades-gdn2-v2_prism-clear_1181_38684.spec.fits;189.1210865;62.2778077;7.48142;26.36340243393428;-19.15705045349277;58.77832603502715;-1.7420387992197175;0.1284357243198069;50.351857085118866;6.2135684034820144;1.1339746752464301;0.6507003864164654;7.421753862170897e+24;4.2587706863497707e+24;0.7339458943616588;0.46582948008735076;17.407354;6.508027;5.98944;6.4339833;2.5025156;6.660737;1.8973422;5.708593;6.7212067;5.560827;10.403219;5.969603;11.078659;6.1773863;12.776056;6.552729;nan;nan;nan;nan
jades-gdn2-v2_prism-clear_1181_38684.spec.fits;189.1210865;62.2778077;7.48142;26.36340243393428;-19.15705045349277;58.77832603502715;-1.7420387992197175;0.1284357243198069;50.351857085118866;6.2135684034820144;1.1339746752464301;0.6507003864164654;7.421753862170897e+24;4.2587706863497707e+24;0.7339458943616588;0.46582948008735076;17.407354;6.508027;5.98944;6.4339833;2.5025156;6.660737;1.8973422;5.708593;6.7212067;5.560827;10.403219;5.969603;11.078659;6.1773863;12.776056;6.552729;nan;nan;nan;nan
jades-gds-wide2-v2_prism-clear_b406.spec.fits;53.172931025784436;-27.79766997984498;7.48396;6.380305991935835;-18.529460912747886;3482.945935624402;-2.0972919409405733;0.05014559082929953;117.15648247921025;33.40750122450781;0.9841920584971076;2.1538540523358147;1.148203494075774e+25;2.512784702203036e+25;-7.793934492971797;-7.369862759423004;-21.44289;20.11191;25.803417;22.66228;-15.094414;22.937458;16.241175;19.359032;48.146606;17.418903;9.022052;19.7443;47.11878;19.430965;167.12448;20.074833;nan;nan;nan;nan
ceers-v2_prism-clear_1345_80372.spec.fits;214.927798;52.85000299999999;7.483963;22.63795012833166;-19.155997675807846;577.274766521259;-2.256674443359111;0.16828289690797366;69.2109881532486;6.926490709993796;9.986590569112188;0.9317339391858999;6.542467102383902e+25;6.104023793818389e+24;18.664846774693856;11.852520368821603;12.717971;8.056444;21.26915;10.28456;19.665455;9.420201;10.333523;7.286465;27.999107;7.753369;91.54662;8.5411625;83.02074;9.199692;237.37898;10.52256;nan;nan;nan;nan
jades-gds-wide2-v2_prism-clear_b389.spec.fits;53.20041919560202;-27.782100669804283;7.48566;21.021476258778865;-20.040813250015784;722.8922323072102;-2.301795507924259;0.1741939780565641;44.14191114639482;7.531476474849612;8.2899426059068;1.944667510631579;2.404083770638883e+25;5.639536754171174e+24;12.114681119494682;6.871370143778721;33.339542;18.827477;74.34444;18.659883;-21.449333;17.512564;25.23126;16.727846;36.455673;15.732422;75.953926;17.817389;131.49135;18.339924;403.89792;21.375858;nan;nan;nan;nan
jades-gds-wide2-v2_prism-clear_b219.spec.fits;53.17293104611426;-27.7976704381541;7.48651;6.28349628247679;-18.67109828172142;-907.3737732000552;-3.009829280629798;0.5449376848553804;107.43078827301274;23.15175446632112;3.5211634889086905;1.9235794886233533;3.605539436780239e+25;1.969673299140844e+25;-10.434422275274297;-15.500632533753743;-12.045607;17.79894;13.351411;17.67547;-11.366514;16.47236;7.3889728;17.072174;16.529621;15.562218;32.253105;17.619577;67.586624;17.225773;125.68895;19.2297;nan;nan;nan;nan
ceers-v2_prism-clear_1345_80239.spec.fits;214.896054;52.86985300000001;7.488206;9.365386584539458;-18.457134108033976;-1776.106187809297;-1.7826745141916551;0.3673766034850806;-72.64232104167642;20.567527457986223;3.2777459290327036;1.3744143824527337;4.08738000718348e+25;1.7139076640026793e+25;75.61165395064232;280.43016059165404;3.1032498;11.508242;30.74539;11.045135;-8.827886;10.776982;-4.1373563;9.205618;39.34049;9.925699;30.007822;12.582788;116.83744;11.906356;234.64185;12.349417;nan;nan;nan;nan
macs1149-v2_prism-clear_b191.spec.fits;177.36739949653395;22.378077018427476;7.5103;20.507516934914996;-20.57782323100933;561.6234574574338;-3.163311622035949;0.2101446118414258;34.888536002056746;6.286931013564284;8.037055248828905;3.233724369069842;1.4213172739237902e+25;5.718696913943686e+24;-13.087378343919704;-13.498883447972466;-30.219513;31.028633;26.1142;32.116444;-8.753304;34.433002;30.963728;29.149641;50.1842;26.003254;73.082756;29.404985;24.227934;51.48013;395.4942;38.76662;nan;nan;nan;nan
ceers-ddt-v2_prism-clear_2750_449.spec.fits;214.940489;52.932556;7.552106;23.062079299994885;-18.727325803572025;1561.092226873708;-2.168321905569738;0.16136085208972278;24.24433130753508;6.320421475195655;4.347850902822272;0.6191128907934049;4.227345014651101e+25;6.019534365133947e+24;8.282218398352345;2.2768161520991206;21.42681;5.8317194;14.197567;5.504938;2.3633282;5.8021903;8.443414;4.8935204;13.303388;5.00158;39.034798;5.558366;55.290173;6.1512804;177.46152;6.86428;nan;nan;nan;nan
borg-1437p5044-v2_prism-clear_1747_1425.spec.fits;219.21054;50.72599;7.55296;46.92469967732098;-21.075059263204352;1084.3755729010777;-2.203698287439611;0.08201850352686958;70.758128626631;2.9105141773695045;23.49684435061676;2.8328174247856204;2.628507421610228e+25;3.1689709111599613e+24;12.783069485699944;3.099843465293974;124.550735;30.00898;139.92857;30.493645;11.63271;29.871672;66.761925;29.136303;101.81547;27.536768;210.89874;25.426292;569.97076;32.993496;1592.1407;43.69828;nan;nan;nan;nan
