# File;RA;Decl;SN_UV;z_spec
uncover-v2_prism-clear_2561_24817.spec.fits;3.620128013592639;-30.37873014144503;37.0056841525804;5.665887
uncover-v2_prism-clear_2561_35492.spec.fits;3.594310427913879;-30.36251657068431;46.286740475354954;5.666554
uncover-v2_prism-clear_2561_42328.spec.fits;3.581659016432357;-30.35060069520608;20.008507192920394;5.667051
uncover-v2_prism-clear_2561_34495.spec.fits;3.600256972680903;-30.36428822043922;29.59520725999572;5.668384
uncover-v2_prism-clear_2561_22977.spec.fits;3.575221624459382;-30.38173446275255;11.533235252489282;5.669718
gds-barrufet-s156-v2_prism-clear_2198_3305.spec.fits;53.15175669109294;-27.89080783881769;36.990444393134;5.67038
uncover-v2_prism-clear_2561_44493.spec.fits;3.593160882975037;-30.34647500036664;118.39390401238482;5.670555
ceers-v2_prism-clear_1345_323.spec.fits;214.872556;52.875949;19.995799073577114;5.671052
ceers-v2_prism-clear_1345_80916.spec.fits;214.89163;52.815943;21.78154120005726;5.674389
rubies-uds3-v2_prism-clear_4233_47509.spec.fits;34.2646021;-5.232585700000016;31.870345603892865;5.67506
rubies-uds2-v2_prism-clear_4233_59381.spec.fits;34.2638366;-5.210403900000017;14.713019498433708;5.67773
rubies-uds3-v2_prism-clear_4233_54607.spec.fits;34.2591774;-5.219734399999994;6.984073500253984;5.67973
jades-gdn2-v2_prism-clear_1181_1054.spec.fits;189.1574206;62.2736069;74.29546789845882;5.68107
jades-gdn2-v2_prism-clear_1181_1054.spec.fits;189.1574206;62.2736069;74.29546789845882;5.68107
jades-gdn2-v2_prism-clear_1181_1054.spec.fits;189.1574206;62.2736069;74.29546789845882;5.68107
ceers-ddt-v2_prism-clear_2750_923.spec.fits;214.950048;52.92650100000001;30.764612048143704;5.707173
macs0416-v2_prism-clear_1208_3113377.spec.fits;64.05376516825305;-24.05565879416849;16.401043154605148;5.728671
uncover-v2_prism-clear_2561_24012.spec.fits;3.59966530114382;-30.37987746788173;26.127110692832197;5.73069
ceers-v2_prism-clear_1345_80671.spec.fits;214.921607;52.867713;18.892005051921814;5.732709
abell370-v2_prism-clear_1208_2109927.spec.fits;39.96523988760287;-1.587816540672236;17.573324306981256;5.750237
borg-2203p1851-v2_prism-clear_1747_412.spec.fits;330.72638;18.842537;59.915708191148425;5.75429
jades-gds-wide-v2_prism-clear_1180_15210.spec.fits;53.2116046;-27.79639379999998;22.225782846797426;5.758342
jades-gds-wide2-v2_prism-clear_b328.spec.fits;53.13580668969321;-27.765920887700243;5.3536645517767925;5.76105
ceers-ddt-v2_prism-clear_2750_2315.spec.fits;214.919172;52.89349899999999;12.023898288964197;5.7624
macs0416-v2_prism-clear_1208_3111431.spec.fits;64.06679496803373;-24.06814585769905;50.6351099782208;5.765104
jades-gdn2-v2_prism-clear_1181_1103.spec.fits;189.1582312;62.2784272;44.89013365483064;5.76813
jades-gdn2-v2_prism-clear_1181_1103.spec.fits;189.1582312;62.2784272;44.89013365483064;5.76813
jades-gdn2-v2_prism-clear_1181_1103.spec.fits;189.1582312;62.2784272;44.89013365483064;5.76813
ceers-v2_prism-clear_1345_403.spec.fits;214.828968;52.875701;42.453019097494305;5.769164
jades-gds1-v2_prism-clear_1286_36826.spec.fits;53.1177521;-27.81652639999999;8.660277215762411;5.77119
jades-gdn2-v2_prism-clear_1181_903.spec.fits;189.0917903;62.2537407;34.89976777451089;5.77187
jades-gdn2-v2_prism-clear_1181_903.spec.fits;189.0917903;62.2537407;34.89976777451089;5.77187
macs1149-v2_prism-clear_1208_5115754.spec.fits;177.4030089316698;22.40949413795984;25.0362622782927;5.77187
jades-gdn2-v2_prism-clear_1181_903.spec.fits;189.0917903;62.2537407;34.89976777451089;5.77187
gds-deep-v2_prism-clear_1210_15099.spec.fits;53.1153699;-27.81476750000002;83.72541371862371;5.771872
uncover-v2_prism-clear_2561_34878.spec.fits;3.554092944266401;-30.36362309241883;18.91113645229313;5.774582
macs1423-v2_prism-clear_1208_4103248.spec.fits;215.9612163243114;24.0580239250473;13.040482970580118;5.775937
jades-gds-wide-v2_prism-clear_1180_9792.spec.fits;53.167131;-27.79423700000001;7.973031105285351;5.776614
jades-gds-wide-v2_prism-clear_1180_57491.spec.fits;53.10430170000001;-27.77514250000002;6.41252260632973;5.780682
gds-egami-ddt-v2_prism-clear_6541_112084.spec.fits;53.119461;-27.80002000000002;40.32035186145355;5.78204
jades-gds-wide2-v2_prism-clear_1180_13885.spec.fits;53.1318357;-27.77377569999998;23.059010902541104;5.78407
gds-udeep-v2_prism-clear_3215_210003.spec.fits;53.1318406;-27.77377389999998;84.57117406519842;5.78475
uncover-v2_prism-clear_2561_30249.spec.fits;3.596139281111247;-30.37137663068211;681.1123246538826;5.784751
gds-barrufet-s67-v2_prism-clear_2198_6712.spec.fits;53.09770720937307;-27.83942913465603;15.99472074954976;5.78882
jades-gds-wide-v2_prism-clear_1180_13639.spec.fits;53.1255438;-27.7550498;23.967799515156827;5.79086
macs0416-v2_prism-clear_1208_3117815.spec.fits;64.05512018130726;-24.06844744697207;18.241131922782543;5.79255
jades-gdn-v2_prism-clear_1181_73449.spec.fits;189.2064092;62.177142;7.745735733555701;5.794256
uncover-v2_prism-clear_2561_23608.spec.fits;3.542812607523306;-30.3806461406399;65.88550356339798;5.794936
jades-gds-wide-v2_prism-clear_1180_9842.spec.fits;53.154087;-27.76606199999998;7.905616426371202;5.796295
uncover-v2_prism-clear_2561_48512.spec.fits;3.574890840384879;-30.33753239990904;40.52051437497655;5.796295
gds-deep-v2_prism-clear_1210_9842.spec.fits;53.154087;-27.76606199999998;83.25004511632049;5.803095
rubies-uds2-v2_prism-clear_4233_59422.spec.fits;34.2856522;-5.210534100000019;10.962454723823653;5.81603
gds-deep-v2_prism-clear_1210_5113.spec.fits;53.1673026;-27.8028703;39.887534293023776;5.818078
gds-deep-v2_prism-clear_1210_56849.spec.fits;53.11351129999999;-27.77283610000001;44.45195592759106;5.820806
gds-egami-ddt-v2_prism-clear_6541_196541.spec.fits;53.171625;-27.82086299999997;58.518505329031875;5.82558
jades-gds-wide-v2_prism-clear_1180_13638.spec.fits;53.141967;-27.75522999999998;39.41445858147084;5.828996
